subset_name,layer,n,base_mean_safe_margin,ut_mean_safe_margin,game_mean_safe_margin,ut_minus_base,game_minus_base,game_minus_ut
top_ut_margin_shift,0,150,0.7525,0.7525,0.7525,0.0,0.0,0.0
top_ut_margin_shift,1,150,0.2954166666666666,0.2954166666666666,0.2954166666666666,0.0,0.0,0.0
top_ut_margin_shift,2,150,0.1353125,0.1348958333333333,0.1353125,-0.00041666666666670404,0.0,0.00041666666666670404
top_ut_margin_shift,3,150,0.2196875,0.2188541666666666,0.2197916666666666,-0.0008333333333334081,0.00010416666666659968,0.0009375000000000078
top_ut_margin_shift,4,150,-0.2182291666666666,-0.2155208333333333,-0.2175,0.0027083333333333126,0.0007291666666666141,-0.0019791666666666985
top_ut_margin_shift,5,150,-0.0386458333333333,-0.0380208333333333,-0.0378125,0.0006250000000000006,0.000833333333333304,0.00020833333333330345
top_ut_margin_shift,6,150,0.3714583333333333,0.3710416666666666,0.3705208333333333,-0.0004166666666666763,-0.00093749999999998,-0.0005208333333333037
top_ut_margin_shift,7,150,0.3684375,0.3660416666666666,0.3667708333333333,-0.0023958333333333748,-0.0016666666666666496,0.0007291666666667251
top_ut_margin_shift,8,150,0.9646354166666666,0.9613541666666666,0.9612760416666668,-0.0032812500000000133,-0.0033593749999998312,-7.812499999981792e-05
top_ut_margin_shift,9,150,1.3517708333333334,1.3527083333333334,1.3515625,0.0009375000000000355,-0.0002083333333333659,-0.0011458333333334014
top_ut_margin_shift,10,150,1.3742376708984374,1.3735196177164717,1.3725435384114584,-0.0007180531819657165,-0.0016941324869790275,-0.000976079305013311
top_ut_margin_shift,11,150,1.5071354166666666,1.5069791666666668,1.503515625,-0.0001562499999998579,-0.003619791666666705,-0.0034635416666668473
top_ut_margin_shift,12,150,1.1932291666666666,1.1949609375,1.1921875,0.0017317708333335347,-0.0010416666666666075,-0.002773437500000142
top_ut_margin_shift,13,150,1.1933984375,1.192858072916667,1.19166015625,-0.0005403645833330639,-0.0017382812499999734,-0.0011979166666669094
top_ut_margin_shift,14,150,1.06140625,1.0610416666666669,1.0575390625,-0.0003645833333332238,-0.0038671875000000355,-0.0035026041666668117
top_ut_margin_shift,15,150,1.1519118245442708,1.155871810913086,1.1506013997395834,0.003959986368815338,-0.001310424804687349,-0.005270411173502687
top_ut_margin_shift,16,150,1.0583765347798666,1.0575844192504882,1.056180114746094,-0.0007921155293784121,-0.002196420033772517,-0.001404304504394105
top_ut_margin_shift,17,150,0.4268131510416666,0.4269399007161458,0.4255604044596354,0.0001267496744791763,-0.0012527465820312278,-0.001379496256510404
top_ut_margin_shift,18,150,0.2266288503011067,0.2319986979166666,0.2291858927408854,0.0053698476155599195,0.002557042439778723,-0.0028128051757811967
top_ut_margin_shift,19,150,-0.2661246744791666,-0.2553531901041667,-0.2619148763020833,0.010771484374999918,0.004209798177083279,-0.0065616861979166385
top_ut_margin_shift,20,150,0.479231948852539,0.5453340657552084,0.4509839948018392,0.06610211690266937,-0.028247954050699797,-0.09435007095336917
top_ut_margin_shift,21,150,1.512805684407552,1.7360719807942708,1.4073244222005208,0.2232662963867189,-0.10548126220703113,-0.32874755859375004
top_ut_margin_shift,22,150,1.1642575327555338,1.3906417846679688,1.0568546549479167,0.22638425191243505,-0.10740287780761704,-0.3337871297200521
top_ut_margin_shift,23,150,1.277470703125,1.4968896484375,1.1743977864583333,0.21941894531249995,-0.10307291666666685,-0.3224918619791668
top_ut_margin_shift,24,150,2.015530598958333,2.467498677571615,1.7875032552083334,0.4519680786132816,-0.22802734374999978,-0.6799954223632814
top_ut_margin_shift,25,150,1.7129817708333333,2.0748046875,1.53078125,0.36182291666666666,-0.18220052083333327,-0.5440234374999999
top_ut_margin_shift,26,150,1.7071354166666666,2.07125,1.5275520833333334,0.36411458333333346,-0.1795833333333332,-0.5436979166666667
top_ut_margin_shift,27,150,2.0219270833333334,2.399270833333333,1.8361979166666669,0.37734374999999964,-0.1857291666666665,-0.5630729166666661
top_ut_margin_shift,28,150,0.7589583333333333,0.9739583333333334,0.6541666666666667,0.21500000000000008,-0.10479166666666662,-0.3197916666666667
top_ut_margin_shift,29,150,0.5529166666666666,0.8483333333333334,0.4054166666666666,0.29541666666666677,-0.14750000000000002,-0.4429166666666668
top_ut_margin_shift,30,150,0.4929166666666666,0.80375,0.3425,0.31083333333333335,-0.1504166666666666,-0.46124999999999994
top_ut_margin_shift,31,150,1.6608333333333334,2.105833333333333,1.4275,0.4449999999999996,-0.2333333333333334,-0.678333333333333
top_ut_margin_shift,32,150,0.3558333333333333,0.5616666666666666,0.3483333333333333,0.20583333333333337,-0.007500000000000007,-0.21333333333333337
