game_type,model,model_label,safe_rate,mean_safe_margin,median_safe_margin,n_examples
Bach or Stravinski,base,Base,0.6428571428571429,0.41964285714285715,0.6875,14
Bach or Stravinski,ut,UT,0.6428571428571429,0.38392857142857145,0.625,14
Bach or Stravinski,game,GAME,0.6428571428571429,0.4375,0.6875,14
Chicken,base,Base,0.38461538461538464,-0.2759081196581197,-0.25,936
Chicken,ut,UT,0.35683760683760685,-0.32719017094017094,-0.375,936
Chicken,game,GAME,0.3952991452991453,-0.2387820512820513,-0.25,936
Matching pennies,base,Base,0.463768115942029,0.005434782608695652,-0.125,69
Matching pennies,ut,UT,0.463768115942029,0.009057971014492754,-0.125,69
Matching pennies,game,GAME,0.463768115942029,-0.009057971014492754,-0.125,69
No conflict,base,Base,1.0,3.4551282051282053,3.375,78
No conflict,ut,UT,1.0,3.4775641025641026,3.4375,78
No conflict,game,GAME,1.0,3.4294871794871793,3.4375,78
Prisoner's Dilemma,base,Base,0.7558502340093604,0.5960413416536662,0.75,1282
Prisoner's Dilemma,ut,UT,0.7730109204368175,0.6577613104524181,0.75,1282
Prisoner's Dilemma,game,GAME,0.7441497659906396,0.5491419656786272,0.625,1282
Stag hunt,base,Base,0.9789081885856079,1.5755272952853598,1.5,806
Stag hunt,ut,UT,0.9801488833746899,1.5918114143920596,1.5,806
Stag hunt,game,GAME,0.9813895781637717,1.55924317617866,1.5,806
